Name_x,Total_Season_Distance,Total_Player_Load,Total_Contacts,Total_Sessions,Avg_Player_Load_Per_Min,High_Speed_Distance_Total,Season_Max_Velocity,Total_High_Decels,Total_High_Accels,weight,height,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,transfer
Player1,249614.85,21558.21,560,47,3.8110638297872343,658.79,21.33,207,477,185,71,1,DB,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player2,177899.69,17921.91,1568,63,2.3294444444444444,13.13,14.89,6,2,331,79,2,OL,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player3,213013.63999999998,22429.59,1662,60,3.06725,1724.67,20.15,103,234,234,77,3,DL,Salt Lake City,UT,USA,40.7596198,-111.8867975,1
Player4,274434.63,32182.12,550,63,4.232142857142857,1147.88,21.1,106,225,192,71,3,RB,Tucson,AZ,USA,32.2228765,-110.9748477,0
Player5,334178.81,28742.43,924,63,3.7570634920634918,2005.72,21.05,266,528,176,72,4,DB,Philadelphia,PA,USA,39.9527237,-75.1635262,0
Player6,193395.22,18781.05,264,60,2.602333333333333,1152.5,19.56,128,89,236,73,4,LB,Little Elm,TX,USA,33.1626194,-96.9375051,0
Player7,244818.92,21284.4,145,63,2.77,873.21,18.24,5,68,211,72,3,QB,Rockwall,TX,USA,32.9312336,-96.4597089,1
Player8,245636.34,26262.14,1072,60,3.603083333333333,1271.4,19.48,174,107,228,70,3,LB,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player9,234097.02,19326.5,245,55,2.8731818181818185,1800.44,20.81,221,584,198,75,1,WR,Gilbert,AZ,USA,33.3527632,-111.7890373,0
Player10,240525.85,21668.4,751,55,3.2388181818181816,353.15999999999997,20.69,300,362,230,78,4,TE,Panama,NY,USA,42.057352,-79.514135,0
Player11,218069.44999999998,21820.74,1070,58,3.1005172413793107,2194.4,20.01,127,79,220,72,1,LB,Coto De Caza,CA,USA,33.6037312,-117.5869581,0
Player12,125492.19,11137.97,616,58,1.6312068965517241,6.51,15.31,0,1,296,76,4,OL,Hilliard,OH,USA,40.033814,-83.1596108,0
Player13,176532.06,17259.18,1390,58,2.4571551724137928,411.55,19.1,38,30,260,75,3,DL,Haslet,TX,USA,32.96116000000001,-97.34228157,1
Player14,325269.54,28565.239999999998,883,63,3.7324603174603177,1760.18,20.46,140,305,228,75,3,LB,Dallas,TX,USA,32.7762719,-96.7968559,0
Player15,239380.41,23266.71,374,49,3.981734693877551,1125.37,20.4,221,590,193,73,3,WR,New Orleans,LA,USA,29.9499323,-90.0701156,0
Player16,134490.48,13472.95,839,51,2.1723529411764706,18.36,14.06,1,0,352,74,4,OL,Long Beach,CA,USA,33.7690164,-118.1916048,0
Player17,325799.54,30588.82,362,63,3.9944444444444445,2268.18,20.21,215,335,194,74,1,DB,Del Valle,TX,USA,30.2091,-97.647,0
Player18,265416.12,29133.42,463,60,4.0800833333333335,995.23,21.6,96,341,170,69,1,RB,Fort Worth,TX,USA,32.753177,-97.3327459,0
Player19,193859.96,15358.7,201,52,2.460576923076923,1838.28,20.76,139,252,183,70,1,DB,San Diego,CA,USA,32.7174209,-117.1627714,0
Player20,325932.72,32353.92,239,63,4.198253968253969,980.47,21.09,174,352,198,71,4,DB,Katy,TX,USA,29.7857853,-95.8243956,0
Player21,204715.12,18035.83,770,55,2.803090909090909,490.36,19.01,65,35,299,75,4,DL,Sumter,SC,USA,33.9204354,-80.3414693,0
Player22,275038.6,28128.48,770,63,3.7039682539682537,1766.5900000000001,20.32,214,316,192,70,3,DB,Chandler,AZ,USA,33.3062223,-111.8413317,1
Player23,267620.53,27793.62,772,61,3.7098360655737705,850.97,22.36,270,502,184,74,2,WR,Bradenton,FL,USA,27.4989278,-82.5748194,1
Player24,257289.46,24651.77,865,63,3.216904761904762,2333.0099999999998,19.36,181,218,223,73,3,LB,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player25,208897.49,18756.7,967,60,2.5680833333333335,895,19.05,69,132,247,76,2,DL,Long Beach,CA,USA,33.7690164,-118.1916048,0
Player26,182899.41999999998,17706.16,1001,56,2.686696428571429,924.46,20.21,123,232,237,74,1,DL,Katy,TX,USA,29.7857853,-95.8243956,1
Player27,307360.39,26219.87,1186,62,3.498548387096774,1882.21,20.29,228,394,202,74,2,DB,Mililani,HI,USA,21.4508308,-158.0095783,0
Player28,308104.9,23852.12,477,57,3.4214912280701757,1049.4,19.98,179,445,202,74,3,DB,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player29,45920.49,4415.57,119,11,3.1545454545454548,0,20.15,70,74,170,71,1,DB,Forney,TX,USA,32.747893,-96.4719289,1
Player30,241336.46,25237.97,181,57,3.679561403508772,2665.75,21.54,215,657,170,70,1,WR,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player31,170986.96,18016.96,1795,63,2.34484127,19.91,14.55,1,0,309,75,3,OL,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player32,341402.95,34623.67,439,63,4.52452381,2177.92,22.05,340,871,161,73,1,WR,Orlando,FL,USA,28.5421109,-81.3790304,0
Player33,304515.79,34911.770000000004,452,62,4.644758065,1989.22,20.61,237,465,188,69,4,RB,Murphy,TX,USA,33.0151208,-96.6130478,0
Player34,305030.92,29592.82,726,63,3.871825396825397,1051.1200000000001,21.22,181,271,214,72,1,LB,San Mateo,CA,USA,37.5439684,-122.3066789,0
Player35,250953.7,24456.75,329,57,3.504561403508772,1371.57,20.78,219,348,176,72,2,DB,Gainesville,GA,USA,34.2978794,-83.8240663,1
Player36,86276.02,8445.81,549,27,2.550925925925926,263.47999999999996,18.63,26,25,270,74,2,DL,Katy,TX,USA,29.7857853,-95.8243956,1
Player37,151073.19,15564.01,1443,60,2.1489166666666666,125.45,16.69,2,3,280,76,1,OL,Kapolei,HI,USA,21.3340079,-158.0778491,0
Player38,346648.8,27913.08,109,63,3.6365873015873014,2780.2400000000002,21.16,324,586,167,70,4,WR,Rockmart,GA,USA,34.0026005,-85.0416133,0
Player39,230509.16,23250.4,404,56,3.3962499999999998,1468.75,21.8,254,429,191,70,3,DB,Oakland,CA,USA,37.8044557,-122.2713563,0
Player40,258626.83000000002,25968.99,299,60,3.5572500000000002,1399.96,20.1,271,623,173,70,4,WR,San Francisco,CA,USA,37.7790262,-122.4199061,1
Player41,124858.17,10693.81,396,30,2.9616666666666664,294.37,18.9,60,69,252,76,3,TE,Peoria,AZ,USA,33.5806115,-112.2372942,0
Player42,311284.67,32809.62,1027,63,4.281031746031746,2519.08,20.48,244,270,182,74,2,DB,East Palo Alto,CA,USA,37.4688273,-122.1410751,0
Player43,107215.56,10996.82,335,53,1.8613207547169812,284.96,17.45,9,5,323,77,4,OL,Long Beach,CA,USA,33.7690164,-118.1916048,1
Player44,304312.03,26515.44,254,63,3.4613492063492064,1381.68,20.21,347,962,171,71,1,WR,Soquel,CA,USA,36.9886992,-121.9550714,0
Player45,140035.37,14389.25,411,37,3.317162162162162,665.22,21.07,93,81,183,72,3,DB,East Los Angeles,CA,USA,34.0239015,-118.1720157,1
Player46,212395.13999999998,21634.45,1886,62,2.900967741935484,666.95,18.54,72,27,267,75,2,DL,Honolulu,HI,USA,21.304547,-157.8556764,0
Player47,191210.7,18582.49,2332,63,2.4174603174603178,8.5,13.86,2,0,306,75,4,OL,Honolulu,HI,USA,21.304547,-157.8556764,0
Player48,156595.92,18323.69,1504,57,2.665964912280702,283.02,17.74,33,5,312,73,1,DL,Phoenix,AZ,USA,33.4484367,-112.0741417,1
Player49,293177.21,28557.1,636,62,3.776774193548387,1770.39,21.62,250,319,190,76,1,DB,Big Lake,TX,USA,31.1915437,-101.4603945,0
Player50,205432.72,21339.55,338,63,2.7862698412698412,335.7,17.82,87,31,235,71,2,TE,Tucson,AZ,USA,32.2228765,-110.9748477,1
Player51,220904.52,24304.3,402,52,3.828461538461539,802.92,20.26,147,424,213,72,3,RB,New Caney,TX,USA,30.155216,-95.2113221,0
Player52,55708.54,5684.18,124,28,2.3575000000000004,143.98000000000002,17.41,14,33,231,77,1,TE,Danville,CA,USA,37.8215929,-121.9999606,0
Player53,5403.34,435.1,0,3,2.3366666666666664,23.36,14.9,0,0,265,73,2,OL,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player54,81487.81,7237.94,182,20,3.08925,136.84,19.55,69,62,248,78,4,TE,Ladera Ranch,CA,USA,33.5510165,-117.6385401,1
Player55,346233.84,33929.28,338,58,4.758620689655173,1533.3,21,355,599,174,71,4,WR,Compton,CA,USA,33.894927,-118.226624,0
Player56,195035.56,19352.96,578,50,3.3608,1539.78,19.81,224,503,195,76,1,WR,Portland,OR,USA,45.5202471,-122.6741949,0
Player57,226751.75,22877.52,1897,63,2.97452381,1140.8,17.45,52,23,300,75,3,DL,Corona,CA,USA,33.8752945,-117.5664449,0
Player58,209854.36,18878.12,610,58,2.716810344827586,1132.27,18.98,106,108,230,74,2,LB,Perris,CA,USA,33.7825194,-117.2286478,0
Player59,180478.13,20741.23,460,63,2.6903968253968253,18.849999999999998,16.69,2,1,259,78,1,OL,South San Francisco,CA,USA,37.6549493,-122.4081251,0
Player60,250680.98,22719.28,160,63,2.970873015873016,785.01,19.2,15,142,204,77,1,QB,Scottsdale,AZ,USA,33.4942189,-111.9260184,0
Player61,358884.52,37670.65,625,63,4.874761904761905,2169.55,20.98,366,936,192,70,4,WR,Rio Rancho,NM,USA,35.269381,-106.632819,0
Player62,198524.59,24679.64,994,62,3.311451612903226,801.98,19.04,47,18,273,74,4,DL,Atlanta,GA,USA,33.7490987,-84.3901849,0
Player63,157075.51,14331.8,503,39,3.271923076923077,647.62,21.61,129,253,179,72,3,DB,Kennesaw,GA,USA,34.0234337,-84.6154897,1
Player64,187998.7,19742.28,126,47,3.415106382978723,1637.15,19.87,52,238,190,73,1,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player65,183789.43,20230.42,2078,60,2.7918333333333334,25.87,15.13,3,0,308,78,1,OL,Glendale,AZ,USA,33.5386858,-112.1859941,0
Player66,283195.09,27017.67,205,62,3.5870161290322584,1190.04,19.76,108,189,231,72,4,LB,Mansfield,TX,USA,32.5631924,-97.1416768,0
Player67,256123.92,28631.75,1965,63,3.7296825396825395,945.49,19.43,107,80,270,75,1,DL,Santa Barbara,CA,USA,34.4221319,-119.7026673,0
Player68,304495.84,28517.9,454,63,3.7285714285714286,2338.76,22.47,367,677,181,71,4,DB,Oakland,CA,USA,37.8044557,-122.2713563,0
Player69,149048.44,15907.84,1892,56,2.3189285714285712,1.22,15.34,0,2,325,77,3,OL,Simi Valley,CA,USA,34.2694474,-118.781482,1
Player70,170596.98,17745.739999999998,446,44,3.4160227272727273,869.76,19.91,96,120,213,73,1,LB,San Antonio,TX,USA,29.4246002,-98.4951405,0
Player71,240962.65,28041.46,108,63,3.656111111111111,407.14,19.67,12,145,186,70,3,QB,Huntington Beach,CA,USA,33.6783336,-118.0000166,0
Player72,113128.91,14706.23,1291,31,3.8977419354838707,874.88,19.1,19,26,265,79,1,DL,Austin,TX,USA,30.2711286,-97.7436995,0
Player73,264309.04,26470.94,437,60,3.6443333333333334,1997.98,20.9,166,456,195,70,3,RB,Garden Grove,CA,USA,33.7746292,-117.9463717,0
Player74,279777.69,22933.96,923,63,2.988253968253968,2272.99,21.15,203,495,200,75,1,DB,Sioux City,IA,USA,42.4966815,-96.4058782,0
Player75,205049.03,21791.44,471,49,3.667448979591837,1342.4,21.51,169,598,212,76,3,WR,San Diego,CA,USA,32.7174209,-117.1627714,1
Player76,240096.39,21511.93,1056,57,3.1812280701754387,1670.08,20.72,183,222,233,74,4,LB,Prosper,TX,USA,33.2385763,-96.7866058,0
Player77,285654.54,29768.51,1291,62,3.9132258064516128,636.29,20,311,149,231,75,4,TE,Visalia,CA,USA,36.3302284,-119.2920585,0
Player78,237948.29,25654.6,214,63,3.3635714285714284,978.14,19.53,14,176,176,71,1,QB,Dallas,TX,USA,32.7762719,-96.7968559,0
Player79,308931.28,29285.71,1173,61,3.9690163934426232,1474.6100000000001,19.63,228,646,175,76,1,WR,Los Gatos,CA,USA,37.226611,-121.9746797,0
Player80,113438.41,10625.72,903,54,1.6369444444444443,4.07,13.42,0,1,354,74,4,OL,Anaheim,CA,USA,33.8347516,-117.911732,0
Player81,12058.56,1375.73,120,5,2.306,0,12.18,0,1,330,77,3,OL,Northridge,CA,USA,34.2345615,-118.5369316,1
Player82,162270.42,16683.48,1116,59,2.3608474576271186,3.22,16.47,0,0,316,77,3,OL,West Valley City,UT,USA,40.6905,112.0011,0
Player83,162134.71,18690.67,1843,63,2.446031746031746,112.64,17.13,5,0,356,75,1,OL,San Francisco,CA,USA,37.7790262,-122.4199061,0
Player84,252826.79,22703.65,491,63,2.978730158730159,1604.49,20.97,210,250,206,73,1,LB,Fontana,CA,USA,34.0922335,-117.435048,1
Player85,279507.47000000003,30549.98,1229,59,4.209322033898305,2268.65,22.6,247,401,185,74,1,DB,Lago Vista,TX,USA,30.4601975,-97.9883477,0
Player86,243979.73,25716.84,1028,59,3.6039830508474573,1561.31,20.54,204,247,197,72,1,DB,Puna,HI,USA,19.4771565,-154.8892445,0
Player87,320590.52,36741.26,1456,63,4.755079365079365,1571.82,19.51,148,254,231,74,3,LB,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player88,187966.02,19175.69,1540,56,2.851785714285714,935.04,18.1,62,30,310,76,4,DL,Las Vegas,NV,USA,36.1672559,-115.1485163,0
Player89,104585.64,13028.24,950,28,4.154642857142857,152.39,19.37,51,72,259,77,4,DL,Mesa,AZ,USA,33.4151117,-111.8314773,0
Player90,321346.67,28387.94,545,62,3.741612903225806,1609.51,21.33,408,677,213,76,2,WR,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player91,216248.87,21249.73,400,52,3.479230769230769,774.84,21.19,205,369,195,74,4,DB,Litchfield Park,AZ,USA,33.4933796,-112.3581244,0
Player92,136822.93,12551.97,1223,46,2.2145652173913044,37.15,15.32,7,1,291,80,4,OL,Bethesda,MD,USA,38.9819845,-77.12423413,0
Player93,181851.28,17240.18,1381,57,2.4792105263157893,7.359999999999999,15.38,1,0,314,78,4,OL,Calellen,TX,USA,27.8559,97.6301,0
Player94,209094.32,20804.17,402,49,3.5351020408163265,400.63,19.71,63,43,236,74,2,TE,Tucson,AZ,USA,32.2228765,-110.9748477,0
Player95,76336.69,5896.65,328,14,3.3850000000000002,71.75,20.12,105,73,244,79,3,TE,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player96,241959.82,24567.59,254,63,3.2124603174603172,921.66,20.41,92,254,203,70,1,RB,Houston,TX,USA,29.7589382,-95.3676974,0
Player97,80249.95,7062.12,570,29,2.0382758620689656,374.76,17.63,25,1,389,78,2,DL,Gold Coast,QLD,Australia,27.8559,97.6301,0